Name,Assembly Code,MF_Number
Miscellaneous Site Construction,G90,
Miscellaneous Types,D1090410,
Mitigation Gas,A60,
Mitigation Methane,A602050,31 21 16
Mitigation Off-Gassing,A6020,31 21 00
Mitigation Radon,A602010,31 21 13
Mitigation Water,A60,
Mobilization,Z107010,01 71 13
Mockups,Z104040,01 43 39
Modems,D602020,27 32 29
Modifications,4040,00 90 00
Modifications Forms,40205,00 63 00
Modular Dimming Control,D504010,26 09 36
Modular Mezzanines,F101070,13 44 00
Modular Service Walls,C109030,10 25 16
Mold Remediation,F201050,02 85 00
Mold Remediation Clearance Air Sampling,F201050,02 85 19
Mold Remediation Preparation and Containment,F201050,02 85 16
Money Cart Pass-Through,E103025,11 17 33
Money Handling Equipment,E103025,11 17 23
Money-Changing Equipment Exterior,G203080,11 14 16
Money-Changing Equipment Interior,E101070,11 14 16
Monorails,D103070,34 12 00
Mortuary Equipment,E104020,11 78 00
Mortuary Lifts,E104020,11 78 19
Mortuary Refrigerators,E104020,11 78 13
Motor & Starter,D5020175,26 24 19
Motor Connections,D5020170,
Motor Feeder,D5020155,
Motor Installation,D5020145,26 24 19
Motor-Control Centers,D602030,
Movable Furnishings,E2050,
Moveable Furnishings,E2020,
Moving Ramps,D101060,14 33 00
Moving Stairs,D1020110,
Moving Walks,D103010,14 32 00
Moving Walks,D1020210,
"Mud Slab, Slab-On-Grade",A409050,03 30 00
Muliple-Use Seating Portable,E205060,
Multi-Leaf Vertical Lift Doors Exterior,B205030,08 36 19
Multi-Leaf Vertical Lift Doors Interior,C103050,08 36 19
Multiple Contracts,301030,
Multiple Contracts Coordination,Z102010,01 31 16
Multiple Contracts Summaries,101030,01 12 00
Multiple Seating Fixed,E201070,12 60 00
Multiple Seating Movable,E205060,12 60 00
Multiple-Use Seating Fixed,E201070,12 65 00
Murals,E201010,12 11 00
Musical Equipment,E107020,11 62 00
"Narrow Rib, Multi Span Steel Deck",B1020126,
"Narrow Rib, Single Span Steel Deck",B1020125,
Natural-Gas Distribution,G306010,33 51 00
Natural-Gas Distribution Temporary,Z106010,01 51 29
Nautical Flagpoles,G206035,10 75 19
Network Integration Requirements,D601060,27 26 23
Network Lighting Contral,D504010,26 09 43
Neutralization Decontamination,G105015,02 52 19
"Noise Barriers, Temporary",Z105040,01 56 19
Notice of Award,401010,00 51 00
Notice to Proceed,401050,00 55 00
Nuclear Radiation Protection,F103050,
Number of Construction Contracts,301030,
Nurse Call/Code Blue Systems,D606030,27 52 23
"Observation Windows, Interior",C102050,
Observatories,F102040,13 34 56
Observatories Equipment,E104010,11 56 00
Obstruction Lighting,D504050,26 55 36
Off-Gassing Mitigation,A6020,31 21 00
Office Accessories,E205040,12 41 00
Office Equipment,E103075,11 28 00
Office Furniture,E205030,12 51 00
Office Seating,E205030,12 52 23
Office Shelters and Booths,F101050,13 22 00
Oil Fired Water Heaters - Commercial Systems,D2020260,
"Oil, Temporary",Z105010,
On-off multicycle Sprinkler Systems,D4010390,
"Openings, Horizontal",B3060,
Operable Access Systems,D1080,
"Operable Partitions, Interior",C101050,
Operating Hardware,E201020,
Operating Room Equipment,E104020,11 76 00
Operating System Software,D601050,27 25 29
Operating Windows Exterior,B202010,08 50 00
Operating Windows interior,C102010,08 50 00
Operation and Maintenance Data,Z107070,01 78 23
Optical Fiber Communications Distribution Cabling,G501030,33 82 23
Optometry Equipment,E104020,11 75 00
Orchestra Lifts,D101020,14 43 13
Organic Decontamination,G105025,02 54 26
Organs,E107020,11 62 19
Ornamental Woodwork Exterior Fabrications,B208070,06 44 00
Ornamental Woodwork interior,C2020,06 44 00
Other Conveying Systems,D1090,
Other Equipment,E1090,
"Other Equipment, EACH",E1090910,
Other Fire Protection Systems,D4090,
"Other Fittings, EACH",C1030910,
Other Fixed Fumishings,E201090,12 90 00
Other interior Specialties,C109090,10 80 00
Other Movable Fumishings,E205090,12 90 00
Other Plumbing Systems,D2090,
"Other Site Development, EACH",G2040950,
"Other Special Construction Systems, EACH",F1030910,
"Other Special Structures, SF",F1010320,
Outine Lighting,D504050,
Outlets and inlets Air,D305050,
Outlets and inlets Outside Air,D306040,
Outlets and inlets Return Air,D306020,
Outlets and inlets Supply Air,D306010,
Outside Air,D306040,
Outside Air Duct Accessories,D306040,23 33 00
Outside Air Ducts and Casings,D306040,23 31 00
Outside Air HVAC Fans,D306040,23 34 00
Outside Air Outlets and Inlets,D306040,23 37 00
Outside Air Plenums and Chases,D306040,23 32 00
Outside Air Terminal Units,D306040,23 36 00
"Ovens, Commercial",E103080,11 44 16
Overhead,Z9010,
"Overhead Electric Service, 3 Phase - 4 Wire",D5010120,
Overhead Exterior Enclosures,B3080,
"Oversize Doors, Exterior",B205030,
Oversized Brick Curtain Wall,B2010153,
Owner Activities,2050,
Owner Development,20,
Owner Safety Requirements,Z102070,01 35 23
Owner-Buid,30101,
Owner-Furnished Products,Z106030,01 64 00
Owner's Work,1050,01 11 16
Package Transfer Units,E103025,11 17 36
Packaged Compressor and Condenser Units,D303010,23 62 00
Packaged Generator Assemblies,D501010,26 32 00
Packaged Outdoor HVAC Equipment,D305050,23 74 00
Packaged Solar Heating Equipment,D302010,23 56 16
Packaged Submersible Sewerage Pump Unit,D202010,22 13 33
Packaged Terminal Air-Conditioners,D303070,23 81 13
Packaged Wastewater Pump Units,D202010,22 13 36
Packaged Packaging Equipment,E103070,11 29 23
Packaged Paging Systems,D6060 10,27 51 13
Paint & Covering,C3010230,
Paint Trim,C3010235,
Painting and Coating Ceilings,C205070,09 90 00
Painting and Coating Exterior Bulkheads,B308030,09 90 00
Painting and Coating Exterior Ceilings,B308010,09 90 00
Painting and Coating Exterior Soffits,B308020,09 90 00
Painting and Coating Exterior Walls,B201010,09 90 00
Painting and Coating Wall,B20107,09 90 00
Paintings,E201010,12 12 00
Panel Doors Exterior,B205030,08 36 00
Panel Doors Interior,C10305,08 36 00
"Panel, Shingle & Lap Siding",B2010148,
Panelboard,D5010250,
Panelboards,D502030,
Paneling Ceiling,C205020,
Paneling Wall,C201020,
Parapets,B201050,
"Parking Areas, Temporary",Z105035,01 55 19
"Parking Bumpers, Parking Lot",G202040,32 17 13
Parking Control Equipment Exterior,G202080,11 12 00
Parking Control Equipment Interior,E101030,11 12 00
"Parking Control Equipment, EACH",E1030210,
Parking Fee Collection Equipment Exterior,G202080,11 12 26
Parking Fee Collection Equipment Interior,E101030,11 12 26
Parking Gates Exterior,G202080,11 12 33
Parking Gates Interior,E101030,11 12 33
Parking Key and Card Control Units Exterior,G202080,11 12 13
Parking Key and Card Control Units Interior,E101030,11 12 13
Parking Lots,G2020,
Parking Lots Appurtenances,G202040,32 17 00
Parking Lots Curbs and Gutters,G202020,32 16 13
Parking Lots Gravel Base,G2020210,
Parking Lots Lighting,G202070,26 56 16
Parking Lots Pavement,G202010,32 10 00
Parking Meters Exterior,G202080,11 12 23
Parking Meters Interior,E101030,11 12 23
Parking Ticket Dispensers Exterior,G202080,11 12 16
Parking Ticket Dispensers Interior,E101030,11 12 16
Particulate Air Filtration,D305050,23 41 00
Partitions,C1010,
Partitions,C1010210,
Partitions,C1010205,
"Partitions, Interior",C1010,10 22 00
"Partitions, Interior Demountable",C101040,10 22 19
"Partitions, Interior Fixed",C101010,
"Partitions, Interior Glazed",C101020,
"Partitions, Interior Operable",C101050,
Pass Windows Exterior,B202050,08 56 19
Pass Windows interior,C102050,08 56 19
Passenger Elevators,D101010,14 21 00
Passenger Loading Bridges,D103050,34 77 13
Passive Cathodic Protection,D508040,
Passive Cathodic Protection for Underground and Submerged Piping,D508040,26 42 13
Passive Cathodic Protection for Underground Storage Tanks,D508040,26 42 16
Passive Solar Indirect Gain Panel,D3010688,
Passive Solar Indirect Gain Wall,D3010686,
Passive Solar Sunspace,D3010690,
Pathways Communications,D609010,27 05 28
Pathways Electronic Safety and Security,D709010,28 05 28
Pathways Integrated Automation,D801090,25 05 28
Patient Bed Service Walls,C109030,10 25 13
Patient Care Equipment,E104020,11 73 00
Patient Monitoring and Telemetry Systems,D606030,27 52 13
"Pavement Appurtenances, Aviation",G204040,32 17 00
Pavement Aviation,G204010,32 10 00
Pavement Curbs and Gutters Aviation,G204020,32 16 13
Pavement Markings Airfield,G204040,32 17 23
Pavement Markings Parking Lot,G202040,32 17 23
Pavement Markings Pedestrian,G203040,32 17 23
Pavement Markings Roadway,G201040,32 17 23
Pavement Parking Lot,G202010,32 10 00
Pavement Pedestrian,G203010,32 10 00
Pavement Roadway,G201010,32 10 00
"Pavers, Roofing",B301050,07 76 13
"Paving, Slope Protection",G107055,31 35 23
Payment Procedures,Z101070,01 29 00
Payment Procedures for Testing Laboratory Service,Z101070,01 29 83
PDX/Key Systems,D602010,27 31 13
Pedestrian Bridges,G206070,32 34 13
Pedestrian Control Equipment Exterior,G203080,11 14 00
Pedestrian Control Equipment interior,E101070,11 14 00
Pedestrian Detection Equipment Exterior,G203080,11 14 43
Pedestrian Detection Equipment interior,E101070,11 14 43
Pedestrian Fare Collection Equipment Exterior,G203080,11 14 26
Pedestrian Fare Collection Equipment Interior,E101070,11 14 26
Pedestrian Gates Exterior,G203080,11 14 13
Pedestrian Gates Interior,E101070,11 14 13
Pedestrian Pavemen Cturbs and Gutters,G203020,32 16 13
Pedestrian Pavement,G203010,
Pedestrian Pavement Appurtenances,G203040,32 17 00
Pedestrian Paving,G2030,
Pedestrian Plazas and Walkways,G2030,
Pedestrian Security Equipment Exterior,G203080,11 14 53
Pedestrian Security Equipment Interior,E101070,11 14 53
Pedestrian Tunnels,G901010,
People Lifts,D101020,14 41 00
People Movers,D103070,
Performance Requirements Interior Doors,C1030,01 84 13
Performance Requirements ‘Stair Finish C2040,C2040,01 84 19
Performance Requirements Access Control and Intrusion Detection,D7010,01 86 33
Performance Requirements Airfields,G2040,01 89 16
Performance Requirements Area Lighting,G40501,01 89 26
Performance Requirements Athletic Areas,G205010,01 89 16
Performance Requirements Audio-Video Communication,D6030,01 86 29
Performance Requirements Basement Construction,A20,01 82 16
Performance Requirements Buikling Modules,F101010,01 88 13
Performance Requirements Building Support Plumbing Systems,D2030,01 86 16
Performance Requirements Cathodic Protection,D508040,01 86 26
Performance Requirements Ceiling Finishes,C2050,01 84 19
Performance Requirements Chemical-Waste Systems,D206040,01 86 16
Performance Requirements Compressed-Air Systems,D206010,01 86 16
Performance Requirements Construction Dewatering,A9020,01 82 00
Performance Requirements Conveying Equipment,D10,01 84 00
Performance Requirements Cooling Systems,D3030,01 86 19
Performance Requirements Covers and Shelters,G208040,01 89 16
Performance Requirements Data Communication,D6010,01 86 29
Performance Requirements Detection and Alarm,D7050,01 86 33
Performance Requirements Detention Equipment,E104070,01 87 13
Performance Requirements Distributed Communications and Monitoring,D6060,01 86 29
Performance Requirements Domestic Water Distribution,D2010,01 86 16
Performance Requirements Site Domestic Water Distribution,G301010,01 89 19
Performance Requirements Dumbwaiters,D101050,01 85 00
Performance Requirements Electrical,D50, 01 86 26
Performance Requirements Electrical Service and Distribution,D5020,01 86 26
Performance Requirements Electronic Monitoring and Control,D7070,01 86 33
Performance Requirements Electronic Safety and Security,D70,01 86 33
Performance Requirements Electronic Surveillance,D7030,01 86 33
Performance Requirements Elevators,D101010,01 85 00
Performance Requirements Equipment,E10, 01 87 13
Performance Requirements Equipment and Furnishings,E,01 87 00
Performance Requirements Escalators,D10103,01 85 00
Performance Requirements Excavation Support ,A9030,01 82 00
Performance Requirements Exterior Doors,B2050, 01 83 16
Performance Requirements Exterior Fountains,G20801,01 83 16
Performance Requirements Exterior Louvers,B20701,01 83 16
Performance Requirements Exterior Walls,B2010,01 83 16
Performance Requirements Exterior Windows,B2020,01 83 16
Performance Requirements Fabric Structures,F102010,01 88 13
Performance Requirements Facility Controls,D8010,
Performance Requirements Facility Fuel Systems,D3010,
Performance Requirements Facility Power Generation,D5010,01 86 26
Performance Requirements Facility Services,D,01 86 00
Performance Requirements Facility Shell,B,01 83 00
Performance Requirements Fences and Gates,G20602,
Performance Requirements Fire Detection and Alarm,D70501,
Performance Requirements Fire Suppression,D4010,01 86 13
Performance Requirements Flagpoles,G206035,
Performance Requirements Floor Construction,B1010,01 83 13
Performance Requirements Flooring,C2030,01 84 19
Performance Requirements Foundations,A10,01 82 13
Performance Requirements Fuel-Gas Detection and Alarm,D70503,
Performance Requirements Fuel-Oil Detection and Alarm,D706040,
Performance Requirements Furnishings,E20,01 87 16
Performance Requirements Gas Distribution,G306010,
Performance Requirements Gas Systems,D20603,
Performance Requirements Gasoline Distribution,G306030,
Performance Requirements General Purpose Electrical Power,D5030,01 86 26
Performance Requirements General Service Compressed-Air,D2050,
Performance Requirements Geodesic Structures,F102030,
Performance Requirements Hazardous Materials Remediation,F2010,
Performance Requirements Heating Systems ,D3020,01 86 19
Performance Requirements Horizontal Conveying ,D1030,01 85 00
Performance Requirements Horizontal Exterior Enclosure ,B30,01 83 1
Performance Requirements Horizontal Openings ,B3060,
Performance Requirements HVAC,D20, 01 86 19
Performance Requirements HVAC Air Distribution,D305050,01 86 19
Performance Requirements Hydronic Distribution,D305010,01 86 19
Performance Requirements Integrated Automation,D80,01 86 23
Performance Requirements Interior Construction,C10,01 84 13
Performance Requirements Interior Finishes,C20,01 84 13
Performance Requirements Interior Fountains,F105020,01 88 13
Performance Requirements Interior Louvers,C109015,01 84 13
Performance Requirements Interior Partitions,C1010,01 84 13
Performance Requirements Interior Radings and Handrails,C10901,01 84 13
Performance Requirements Interior Windows,C1020,01 84 13
Performance Requirements interiors,C,01 84 00
Performance Requirements Irrigation Water,G301050,
Performance Requirements Lifts,D101020,01 85 00
Performance Requirements Lighting,D5040,01 86 26
Performance Requirements Lightning Protection,D508010,01 86 26
Performance Requirements Manutactured Canopy,F102060,01 88 13
Performance Requirements Manutactured/Fabricated Rooms,F101050,01 88 13
Performance Requirements Manutactured-Engineered Structures,F102040,01 88 13
Performance Requirements Material Handling,D1050,01 85 00
Performance Requirements Modular Mezzanines,F101070,01 88 13
Performance Requirements Moving Ramps,D101060,01 85 00
Performance Requirements Moving Walks,D103010,01 85 00
Performance Requirements Off-Gassing Mitigation,A6020,01 82 00
Performance Requirements Operable Access Systems,D1080,01 85 00
Performance Requirements Other Site Construction,G90,01 89 29
Performance Requirements Overhead Exterior Enclosures,B3080,01 83 16
Performance Requirements Parking Lots,G2020,01 89 16
Performance Requirements Passenger Loading Bridges,D103050,01 85 00
Performance Requirements Pedestrian Plazas and Walkways,G2030, 01 89 16
Performance Requirements People Mover,D103070,01 85 00
Performance Requirements Planting Irrigation,G20801,01 85 00
Performance Requirements Play Areas,G205050,01 89 16
Performance Requirements Plumbing,D20,01 89 16
Performance Requirements Pools,F105010,01 88 13
Performance Requirements Processed Water Systems,D20605,01 86 16
Performance Requirements Radiation Detection and Alarm,D70502,01 86 33
Performance Requirements Radiation Protection,F103050,01 88 13
Performance Requirements Raised Floor Construction,C1060,01 84 13
Performance Requirements Recreational Areas,G205030,01 89 16
Performance Requirements Refrigeration Detection and Alarm,D705050,01 86 33
Performance Requirements Retaining Walls,G208060,01 89 16
Performance Requirements Roadways,G2010,01 89 16
Performance Requirements Roof Construction,B1020,01 83 13
Performance Requirements Roofing,B3010,01 83 19
Performance Requirements Sanitary Drainage,D2020,01 86 16
Performance Requirements Sanitary Sewerage Utility,G3020,01 89 19
Performance Requirements Security Equipment,E104060,01 87 13
Performance Requirements Seismic Control,F103030,01 88 13
Performance Requirements Site Aviation Fuel Distribution,G306060,01 89 23
Performance Requirements Site Bridges,G206070,01 89 16
Performance Requirements Site Construction,G,01 89 00
Performance Requirements Site Diesel Fuel Distribution,G208040,01 89 23
Performance Requirements Site Electric Distribution System,G4010,01 89 26
Performance Requirements Site Electrical Utilities,G40,01 89 26
Performance Requirements Site Fire Protection Water,G301030,01 89 19
Performance Requirements Site Fuel-Oil Distribution,G306020,01 89 23
Performance Requirements Site Hydronic Cooling Distribution,G305040,01 89 23
Performance Requirements Site Hydronic Heating Distribution,G305010,01 89 23
Performance Requirements Site improvements,G20,01 89 16
Performance Requirements Site Plumbing Utilities,G30,01 89 19
Performance Requirements Site Preparation,G10,01 89 13
Performance Requirements Site Remediation,G1050,01 89 13
Performance Requirements Site Steam Distribution,G305020,01 89 23
Performance Requirements Slabs-On-Grade,A40,01 82 00
Performance Requirements Solid Waste Handling Equipment,E10901,01 87 13
Performance Requirements Sound and Vibration Control,F163010,01 88 13
Performance Requirements Space Frames,F102020,01 88 13
Performance Requirements Special Construction,F10,01 88 13
Performance Requirements Special Structures,F1020,01 88 13
Performance Requirements Stairways,B1080,01 84 16
Performance Requirements Steam Distribution,D305030,01 86 19
Performance Requirements Storm Drainage Utility,G3030,01 89 19
Performance Requirements Structure Moving,F3050,
Performance Requirements Subdrainage Systems,A6010,01 82 00
Performance Requirements Substructure,A,01 82 00
Performance Requirements Superstructure,B10,01 83 13
Performance Requirements Suspended Ceiling Construction,C1070,01 84 13
Performance Requirements Towers,F102070,01 88 13
Performance Requirements Traffic Bearing Horizontal,B3040,01 83 16
Performance Requirements Tunnels,G9010,01 89 29
Performance Requirements Turntables,D10303,01 85 00
Performance Requirements Vacuum Systems,D206020,01 86 16
Performance Requirements Ventilation,D3060, 01 86 19
Performance Requirements Vertical Exterior Enclosure,B20,01 83 16
Performance Requirements Voice Communication,D6020,01 86 29
Performance Requirements Wall Finishes,C2010,01 84 19
Performance Requirements Water intrusion Detection and Alarm,D705060,01 86 33
Perimeter Security Systems,D701050,28 16 43
Periodic Work Observation,Z102030,01 32 29
Permanent,209030,
Locker Room Benches,C109070,
Permits,2020,00 31 46
Permits Application,304090,00 31 43
Permits Building,202030,01 41 26
Permits Costs,Z7050,
Permits Planned Unit Development,202015,
Permits Zoning,202010, 01 35 63
Pest Control Devices,C109090,10 81 00
Pest Control Temporary,Z106050,01 57 16
Pews and Benches Fixed,E201070,12 67 00
Pews and Benches Portable,E205060,12 67 00
Photographic Documentation,Z102030,01 32 33
Photographic Processing Equipment,E103060,11 27 00
Photographic Photovoltaic Collectors,D501030,26 31 00
"Photovoltaic Power System, Grid Connected",D5090430,
"Photovoltaic Power System, Stand Alone",D5090420,
Photographic Physical Decontamination,G105010,02 51 00
"Piers, Column",A101030,
Pile Caps,A1010250,
Piles Bored,A102015,31 63 00
Piles Caps,A102070,
Piles Driven,A102010,31 62 00
Pipe Bedding,G1030815,
Pipe Culverts,G303030,33 42 13
Piping,D301010,
Piping - Installed - Unit Costs,D2090810,
Piping Compressed-Air,D206010,22 61 13
Piping Domestic Water,D201040, 22 11 16
Piping Fire-Suppression,D401010,21 11 00
Piping Fuel,D301010,23 11 00
Piping General Service Compressed-Air,D2050,22 15 13
Piping Healthcare Chemical-Waste ,206040,22 66 70
Piping Hydronic ,D305010,23 21 13
Piping Laboratory Chemical-Waste ,D206040,22 66 53
Piping Processed Water ,D206050,22 67 13
Piping Sanitary Sewerage ,D202030,
Piping Site Aviation Fuel,G306060,33 52 43.13
Piping Site Diesel Fuel,G306040,33 52 19.13
Piping Site Fuel-Oil,G306020,33 52 13.13
Piping Site Gasoline,G306030,33 52 16.13
Piping Site Storm Drainage,G303020,33 41 00
"Piping Specialties, Stormwater Drainage",D203020,22 14 23
Piping Steam,D305030, 23 22 13
Piping Stormwater Drainage,D203020,22 14 13
"Piping System, Gray Water",D203060,
Piping Vacuum,D206020,22 62 13
Piping Waste Anesthesia-Gas,D206020,22 62 23
Pits and Bases,A4040,
Plain & Reinforced,A1030120,
Planetariums,F101050,13 23 00
Planetariums Equipment,E104010,11 55 00
Planetariums Pendulums,E104010,11 55 16
Planetariums Projectors,E104010,11 55 13
Planned Unit Development Permits,202015,
Planned Unit Development Requirements,103015,
Plant Inspection Procedures,Z104080,01 45 26
"Planters and Artificial Plants, Fixed Interior",E201090,12 92 00
Planters Exterior,G20805,32 94 33
Planters Fixed Interior,E201090,12 92 33
Planters Movable Interior,E205090, 12 92 33
Planters Site,G206025,12 93 33
Planting Accessories,G208050,32 94 00
Planting Irrigation,G208010,32 84 00
Planting Preparation,G208080,32 91 00
Plants and Bulbs,G208030,32 93 23
"Plants, Exterior",G208030,32 93 00
Plaster Ceilings,C3030105,
"Plaster Ceilings, Suspended",C107020,09 20 00
Plaster Exterior Bulkheads 208030,B308030,09 20 00
Plaster Exterior Ceilings,B308010,09 20 00
Plaster Exterior Fabrications,B208070,09 27 00
Plaster Exterior Soffits,B308020,09 20 00
Plaster Exterior Wail interior Skin,B201030,09 20 00
"Plaster Fabrications, Interior",C2020,09 27 00
"Plaster Finish, Ceilings",C205010,09 20 00
Plaster Interior Partitions,C101010,09 20 00
Plaster Partition Components,C1010144,
Plaster Partitions/Metal Stud Framing,C1010140,
Plaster Partitions/Wood Stud Framing,C1010142,
Plaster Stair Soffits,B108030,09 20 00
Plaster Subgrade Enclosure Wall Interior Skin,A201020,09 20 00
Plastic Doors,,08 15 00
Plastic Windows,,08 53 00
"Plastic Blocks, Walls",C201060,09 76 00
Plastic Exterior Fabrications,B208070,06 60 00
Plastic Exterior Fixed Grites and Screens,B208010,06 60 00
"Plastic Fabrications, Interior",C2020,06 60 00
Plastic Fences and Gates,G20602,32 31 23
Plastic Floor Decking,B101020,06 53 00
Plastic Framed Skylights,B306010,08 64 00
"Plastic Paneling, Ceilings",C20502,06 64 00
"Plastic Paneling, Walls",C20102,06 64 00
"Plastic Railings, Exterior Balcony",B20805,06 63 00
"Plastic Railings, Interior",C10901,06 63 00
Plastic Roof Decking,B102020,06 53 00
Plastic Stair Railings,B108050,06 63 00
Platform Lifts,D10102,14 43 00
Platform/Stage Floors,C106030,
"Platforms, Elevating",D10803,14 83 00
Play Structures,G205050,11 68 16
Players and Recorders,E10401,11 52 19
Playfield Areas,G20505,
Playfield Areas Equipment and Structures,G205050,11 68 00
Playfield Areas Lighting,G205050,26 56 00
Playfield Areas Surfacing,G205050,
Playground Equipment,G205050,11 68 13
Plaza and Walkway Lighting,G20307,26 56 33
PLC Electronic Detention Monitoring and Control Systems,D70701,28 46 19
"Plenums and Chases, Air",D305050,23 32 00
"Plenums and Chases, Air Exhaust Air",D306030,23 32 00
"Plenums and Chases, Air Outside Air",D306040,23 32 00
"Plenums and Chases, Air Return Air",D306020,23 32 00
"Plenums and Chases, Air Supply Air",D30601,23 32 00
Plugging,G20802,32 92 16
Plumbing,D20,22 00 00
Plumbing Fixtures,D201060,22 40 00
Plumbing Fixtures Commercial,D201060,22 42 00
Plumbing Fixtures Emergency,D201060,22 45 00
Plumbing Fixtures Healthcare,D201060,22 43 00
Plumbing Fixtures Residential,D201060,22 41 00
"Plumbing Fixtures Supports, Security Trim",D201060,22 46 53
Plumbing Fixtures Commercial,D201060,22 42 39
Plumbing Fixtures Residential,D201060,22 41 39
Plumbing Fixtures Security,D201060,22 46 00
"Plumbing Systems 20 Unit, 2 Story Apartment Building",D2010951,
Plumbing Systems integrated Automation Control,D801040,25 54 00
Plumbing Systems interior Fountain,F105020,22 52 00
Plumbing Systems Pool,F105010,22 51 00
Pneumatic Tube Systems,D106070,14 92 00
Point of Sale Systems,D603050,27 42 13
Polychlorinate Biphenyl Remediation,F201040,02 84 00
"Ponds and Reservoirs, Storm Drainage",G303070,33 47 26
"Ponds and Reservoirs, Storm Drainage Liners, Storm Drainage",G303070,33 47 13 13
"Ponds, Site Domestic Water",G301010,33 47 19 13
"Ponds, Site Domestic Water Cover",G301010,
"Ponds, Site Domestic Water Cover Site Irrigation Water",G301050,33 47 16 13
"Ponds, Site Domestic Water Cover Site Domestic Water",G301010,33 47 16 13
"Ponds, Site Domestic Water Liners Site Domestic Water",G301010,33 47 13 13
"Ponds, Site Domestic Water Liners Site Irrigation Water",G301050,33 47 13 13
Pools,F105010,
Pools Equipment,F105010,
Pools Equipment Controls,F105010,22 51 23
Pools Piping System,F105010,22 51 13
Pools Plumbing Systems,F106010,22 51 00
Pools Pumps,F106010,22 51 16
Pools Specialties,F105010,
Pools Water Treatment,F105010,22 51 19
Portable Audio-Video Equipment,D603010,27 41 19
Portable Lamps,E205040,12 43 00
"Portable Pantitions, Screens and Panels",C101070,10 22 23
Portland Cement Terrazzo Flooring,C203060,09 66 13
Porous Unit Pavement,,32 14 43
Postal Equipment,E103070,11 29 55
"Postal Packaging, and Shipping Equipment",E103070,11 29 00
Postal Speciatties,C109070,10 55 00
Potting Machines,E109040,11 93 23
"Power Distribution, Facility",D502030,26 20 00
Power Factor Correction Equipment,D501060,26 35 33
Power Filtering and Conditioning,D501060,26 35 00
Powered Scaffolding,D108040,14 84 00
Preaction Sprinkler Systems,D401010,21 13 19
Precast Beam & Plank with 2? Topping,B1010238,
Precast Beam & Plank with No Topping,B1010236,
Precast Concrete Balcony Construction,B101030,03 40 00
Precast Concrete Canopy Construction,B102030,03 40 00
Precast Concrete Cofferdams,A903020,31 52 19
Precast Concrete Columns Supporting Floors,B101010,03 40 00
Precast Concrete Columns Supporting Roofs,B102010,03 40 00
Precast Concrete Equipment Screens,B201060,03 40 00
Precast Concrete Exterior Balcony Walls,B208050,03 40 00
Precast Concrete Exterior Wall Construction,B201020,03 40 00
Precast Concrete Exterior Wall Veneer,B201010,03 40 00
Precast Concrete Floor Decks,B101020,03 40 00
Precast Concrete Floor Girders and Beams,B101010,03 40 00
Precast Concrete Foundation Walls,A101010,03 40 00
Precast Concrete Interior Partitions,C101010,03 40 00
Precast Concrete Mezzanine Construction,B101040,03 40 00
Precast Concrete Parapets,B201050,03 40 00
Precast Concrete Piles,A1020120,
Precast Concrete Ramps,B101050,03 40 00
Precast Concrete Retaining Walls,G208060,32 32 16
Precast Concrete Roof Decks,B102020,03 40 00
Precast Concrete Roof Girders and Beams,B102010,03 40 00
Precast Concrete Shaft Lining Pedestrian Tunnels,G901020,31 75 16
Precast Concrete Shaft Lining Service Tunnels,G901040,31 75 16
Precast Concrete Shaft Lining Vehicular Tunnels,G901010,31 75 16
Precast Concrete Specialties,B20101050,
Precast Concrete Splash Blocks,B302070,03 48 16
Precast Concrete Stair Treads,B108010,03 48 19
Precast Concrete Stairs,B108010,03 41 23
Precast Concrete Subgrade Enclosure,A201010,03 40 00
Precast Concrete Tunnel Lining Pedestrian,G901020,31 74 16
Precast Concrete Tunnel Lining Service,G901040,31 74 16
Precast Concrete Tunnel Lining Vehicular,G901010,31 74 16
Precast Double T & 2 inch Topping on Precast Beams,B1010239,
Precast Double T Beams With 2? Topping,B1010235,
Precast Double T Beams with No Topping,B1010234,
Precast Plank with 2? Concrete Topping,B1010230,
Precast Plank with No Topping,B1010229,
Precautions for Mold Remediation,F201050,02 85 13
Precontract Revisions,40401,00 91 00
"Pre-Engineered Structures, EACH",F1010210,
Prefinished Paneling,,06 25 00
Prefinished Paneling Ceilings,C205020,06 25 00
Prefinished Paneling Walls,C201020,06 25 00
Preformed Metal Roofing,B3010130,
Preliminary Closeout Reviews,Z107060,01 77 13
Preliminary Schedules,30401,00 31 13
Pressure Grouting Soil Stabilization,G107040,31 32 23
Pressure Injected Footings,A1020710,
Pressure Piping Tied Joint Restraint System,G309010,33 05 19
Pressure-Resistant Doors Exterior,B205040,08 39 00
Pressure-Resistant Doors interior,C103070,08 39 00
Pressure-Resistant Glazing,B202050,08 88 39
"Pressure-Resistant Windows, Exterior",B20205,08 55 00
Price and Payment Procedures,Z1010,01 20 00
Printers Communications,D60103,27 24 13
Printers Office,E103075,11 28 16
Procedures Alteration Project,Z102070,01 35 16
Procedures Checkout,Z107040,01 75 13
Procedures Closeout,Z107060,01 77 00
Procedures Contract Modification,Z101060,01 26 00
Procedures Environmental,Z102070,01 35 43
Procedures Facility Decommissioning,Z109080,01 94 13
Procedures Facility Maintenance,Z109050,01 93 13
Procedures Facility Operation,Z109030,01 92 13
Procedures Field Quality Control,Z104080,01 45 16
